pixel;lat;lon
0;40.0000;3.0000
1;40.0000;3.0167
2;40.0000;3.0333
3;40.0000;3.0500
4;40.0000;3.0667
5;40.0000;3.0833
6;40.0000;3.1000
7;40.0000;3.1167
8;40.0000;3.1333
9;40.0000;3.1500
10;40.0000;3.1667
11;40.0000;3.1833
12;40.0000;3.2000
13;40.0000;3.2167
14;40.0000;3.2333
15;40.0000;3.2500
16;40.0000;3.2667
17;40.0000;3.2833
18;40.0000;3.3000
19;40.0000;3.3167
20;40.0000;3.3333
21;40.0000;3.3500
22;40.0000;3.3667
23;40.0000;3.3833
24;40.0000;3.4000
25;40.0000;3.4167
26;40.0000;3.4333
27;40.0000;3.4500
28;40.0000;3.4667
29;40.0000;3.4833
30;40.0000;3.5000
31;40.0000;3.5167
32;40.0000;3.5333
33;40.0000;3.5500
34;40.0000;3.5667
35;40.0000;3.5833
36;40.0000;3.6000
37;40.0000;3.6167
38;40.0000;3.6333
39;40.0000;3.6500
40;40.0000;3.6667
41;40.0000;3.6833
42;40.0000;3.7000
43;40.0000;3.7167
44;40.0000;3.7333
45;40.0000;3.7500
46;40.0000;3.7667
47;40.0000;3.7833
48;40.0000;3.8000
49;40.0000;3.8167
50;40.0000;3.8333
51;40.0000;3.8500
52;40.0000;3.8667
53;40.0000;3.8833
54;40.0000;3.9000
55;40.0000;3.9167
56;40.0000;3.9333
57;40.0000;3.9500
58;40.0000;3.9667
59;40.0000;3.9833
60;40.0000;4.0000
61;40.0000;4.0167
62;40.0000;4.0333
63;40.0000;4.0500
64;40.0000;4.0667
65;40.0000;4.0833
66;40.0000;4.1000
67;40.0000;4.1167
68;40.0000;4.1333
69;40.0000;4.1500
70;40.0000;4.1667
71;40.0000;4.1833
72;40.0000;4.2000
73;40.0000;4.2167
74;40.0000;4.2333
75;40.0000;4.2500
76;40.0000;4.2667
77;40.0000;4.2833
78;40.0000;4.3000
79;40.0000;4.3167
80;40.0000;4.3333
81;40.0000;4.3500
82;40.0000;4.3667
83;40.0000;4.3833
84;40.0000;4.4000
85;40.0000;4.4167
86;40.0000;4.4333
87;40.0000;4.4500
88;40.0000;4.4667
89;40.0000;4.4833
90;40.0000;4.5000
91;40.0000;4.5167
92;40.0000;4.5333
93;40.0000;4.5500
94;40.0000;4.5667
95;40.0000;4.5833
96;40.0000;4.6000
97;40.0000;4.6167
98;40.0000;4.6333
99;40.0000;4.6500
100;40.0000;4.6667
101;40.0000;4.6833
102;40.0000;4.7000
103;40.0000;4.7167
104;40.0000;4.7333
105;40.0000;4.7500
106;40.0000;4.7667
107;40.0000;4.7833
108;40.0000;4.8000
109;40.0000;4.8167
110;40.0000;4.8333
111;40.0000;4.8500
112;40.0000;4.8667
113;40.0000;4.8833
114;40.0000;4.9000
115;40.0000;4.9167
116;40.0000;4.9333
117;40.0000;4.9500
118;40.0000;4.9667
119;40.0000;4.9833
120;40.0000;5.0000
121;40.0000;5.0167
122;40.0000;5.0333
123;40.0000;5.0500
124;40.0000;5.0667
125;40.0000;5.0833
126;40.0000;5.1000
127;40.0000;5.1167
128;40.0000;5.1333
129;40.0000;5.1500
130;40.0000;5.1667
131;40.0000;5.1833
132;40.0000;5.2000
133;40.0000;5.2167
134;40.0000;5.2333
135;40.0000;5.2500
136;40.0000;5.2667
137;40.0000;5.2833
138;40.0000;5.3000
139;40.0000;5.3167
140;40.0000;5.3333
141;40.0000;5.3500
142;40.0000;5.3667
143;40.0000;5.3833
144;40.0000;5.4000
145;40.0000;5.4167
146;40.0000;5.4333
147;40.0000;5.4500
148;40.0000;5.4667
149;40.0000;5.4833
150;40.0000;5.5000
151;40.0000;5.5167
152;40.0000;5.5333
153;40.0000;5.5500
154;40.0000;5.5667
155;40.0000;5.5833
156;40.0000;5.6000
157;40.0000;5.6167
158;40.0000;5.6333
159;40.0000;5.6500
160;40.0000;5.6667
161;40.0000;5.6833
162;40.0000;5.7000
163;40.0000;5.7167
164;40.0000;5.7333
165;40.0000;5.7500
166;40.0000;5.7667
167;40.0000;5.7833
168;40.0000;5.8000
169;40.0000;5.8167
170;40.0000;5.8333
171;40.0000;5.8500
172;40.0000;5.8667
173;40.0000;5.8833
174;40.0000;5.9000
175;40.0000;5.9167
176;40.0000;5.9333
177;40.0000;5.9500
178;40.0000;5.9667
179;40.0000;5.9833
180;40.0000;6.0000
181;40.0167;3.0000
182;40.0167;3.0167
183;40.0167;3.0333
184;40.0167;3.0500
185;40.0167;3.0667
186;40.0167;3.0833
187;40.0167;3.1000
188;40.0167;3.1167
189;40.0167;3.1333
190;40.0167;3.1500
191;40.0167;3.1667
192;40.0167;3.1833
193;40.0167;3.2000
194;40.0167;3.2167
195;40.0167;3.2333
196;40.0167;3.2500
197;40.0167;3.2667
198;40.0167;3.2833
199;40.0167;3.3000
200;40.0167;3.3167
201;40.0167;3.3333
202;40.0167;3.3500
203;40.0167;3.3667
204;40.0167;3.3833
205;40.0167;3.4000
206;40.0167;3.4167
207;40.0167;3.4333
208;40.0167;3.4500
209;40.0167;3.4667
210;40.0167;3.4833
211;40.0167;3.5000
212;40.0167;3.5167
213;40.0167;3.5333
214;40.0167;3.5500
215;40.0167;3.5667
216;40.0167;3.5833
217;40.0167;3.6000
218;40.0167;3.6167
219;40.0167;3.6333
220;40.0167;3.6500
221;40.0167;3.6667
222;40.0167;3.6833
223;40.0167;3.7000
224;40.0167;3.7167
225;40.0167;3.7333
226;40.0167;3.7500
227;40.0167;3.7667
228;40.0167;3.7833
229;40.0167;3.8000
230;40.0167;3.8167
231;40.0167;3.8333
232;40.0167;3.8500
233;40.0167;3.8667
234;40.0167;3.8833
235;40.0167;3.9000
236;40.0167;3.9167
237;40.0167;3.9333
238;40.0167;3.9500
239;40.0167;3.9667
240;40.0167;3.9833
241;40.0167;4.0000
242;40.0167;4.0167
243;40.0167;4.0333
244;40.0167;4.0500
245;40.0167;4.0667
246;40.0167;4.0833
247;40.0167;4.1000
248;40.0167;4.1167
249;40.0167;4.1333
250;40.0167;4.1500
251;40.0167;4.1667
252;40.0167;4.1833
253;40.0167;4.2000
254;40.0167;4.2167
255;40.0167;4.2333
256;40.0167;4.2500
257;40.0167;4.2667
258;40.0167;4.2833
259;40.0167;4.3000
260;40.0167;4.3167
261;40.0167;4.3333
262;40.0167;4.3500
263;40.0167;4.3667
264;40.0167;4.3833
265;40.0167;4.4000
266;40.0167;4.4167
267;40.0167;4.4333
268;40.0167;4.4500
269;40.0167;4.4667
270;40.0167;4.4833
271;40.0167;4.5000
272;40.0167;4.5167
273;40.0167;4.5333
274;40.0167;4.5500
275;40.0167;4.5667
276;40.0167;4.5833
277;40.0167;4.6000
278;40.0167;4.6167
279;40.0167;4.6333
280;40.0167;4.6500
281;40.0167;4.6667
282;40.0167;4.6833
283;40.0167;4.7000
284;40.0167;4.7167
285;40.0167;4.7333
286;40.0167;4.7500
287;40.0167;4.7667
288;40.0167;4.7833
289;40.0167;4.8000
290;40.0167;4.8167
291;40.0167;4.8333
292;40.0167;4.8500
293;40.0167;4.8667
294;40.0167;4.8833
295;40.0167;4.9000
296;40.0167;4.9167
297;40.0167;4.9333
298;40.0167;4.9500
299;40.0167;4.9667
300;40.0167;4.9833
301;40.0167;5.0000
302;40.0167;5.0167
303;40.0167;5.0333
304;40.0167;5.0500
305;40.0167;5.0667
306;40.0167;5.0833
307;40.0167;5.1000
308;40.0167;5.1167
309;40.0167;5.1333
310;40.0167;5.1500
311;40.0167;5.1667
312;40.0167;5.1833
313;40.0167;5.2000
314;40.0167;5.2167
315;40.0167;5.2333
316;40.0167;5.2500
317;40.0167;5.2667
318;40.0167;5.2833
319;40.0167;5.3000
320;40.0167;5.3167
321;40.0167;5.3333
322;40.0167;5.3500
323;40.0167;5.3667
